"Scenario","Area","Year","Population"
"SSP1","Afghanistan",2020,38326
"SSP1","Afghanistan",2025,43793.7
"SSP1","Afghanistan",2030,49238.6
"SSP1","Afghanistan",2035,54439.8
"SSP1","Afghanistan",2040,59276
"SSP1","Afghanistan",2045,63892.2
"SSP1","Afghanistan",2050,68115.7
"SSP1","Afghanistan",2055,71776
"SSP1","Afghanistan",2060,74779.1
"SSP1","Afghanistan",2065,77207.2
"SSP1","Afghanistan",2070,79017.4
"SSP1","Afghanistan",2075,80216.1
"SSP1","Afghanistan",2080,80727
"SSP1","Afghanistan",2085,80547
"SSP1","Afghanistan",2090,79809.8
"SSP1","Afghanistan",2095,78607.1
"SSP1","Afghanistan",2100,76984.9
"SSP1","Albania",2020,2872.1
"SSP1","Albania",2025,2792.4
"SSP1","Albania",2030,2714.6
"SSP1","Albania",2035,2615.9
"SSP1","Albania",2040,2505.3
"SSP1","Albania",2045,2390.6
"SSP1","Albania",2050,2274.4
"SSP1","Albania",2055,2157.8
"SSP1","Albania",2060,2041.1
"SSP1","Albania",2065,1933.4
"SSP1","Albania",2070,1835.4
"SSP1","Albania",2075,1746.9
"SSP1","Albania",2080,1664.9
"SSP1","Albania",2085,1586
"SSP1","Albania",2090,1507.3
"SSP1","Albania",2095,1428.3
"SSP1","Albania",2100,1351.7
"SSP1","Algeria",2020,43091
"SSP1","Algeria",2025,46489.7
"SSP1","Algeria",2030,49185.5
"SSP1","Algeria",2035,51363.6
"SSP1","Algeria",2040,53239.9
"SSP1","Algeria",2045,54998.8
"SSP1","Algeria",2050,56524.9
"SSP1","Algeria",2055,57566.4
"SSP1","Algeria",2060,58053.9
"SSP1","Algeria",2065,58052.4
"SSP1","Algeria",2070,57704.3
"SSP1","Algeria",2075,57133.7
"SSP1","Algeria",2080,56412.5
"SSP1","Algeria",2085,55567.7
"SSP1","Algeria",2090,54615.3
"SSP1","Algeria",2095,53577
"SSP1","Algeria",2100,52442
"SSP1","Angola",2020,32899
"SSP1","Angola",2025,37902
"SSP1","Angola",2030,42685.9
"SSP1","Angola",2035,47355
"SSP1","Angola",2040,51825.4
"SSP1","Angola",2045,56146.4
"SSP1","Angola",2050,60172.2
"SSP1","Angola",2055,63756.1
"SSP1","Angola",2060,66860.3
"SSP1","Angola",2065,69467.6
"SSP1","Angola",2070,71530.5
"SSP1","Angola",2075,73055.2
"SSP1","Angola",2080,73977.4
"SSP1","Angola",2085,74261.3
"SSP1","Angola",2090,73877.6
"SSP1","Angola",2095,72948.3
"SSP1","Angola",2100,71521.1
"SSP1","Antigua and Barbuda",2020,92.4
"SSP1","Antigua and Barbuda",2025,95.3
"SSP1","Antigua and Barbuda",2030,97.6
"SSP1","Antigua and Barbuda",2035,99.4
"SSP1","Antigua and Barbuda",2040,100.6
"SSP1","Antigua and Barbuda",2045,101.2
"SSP1","Antigua and Barbuda",2050,101.3
"SSP1","Antigua and Barbuda",2055,100.9
"SSP1","Antigua and Barbuda",2060,100.1
"SSP1","Antigua and Barbuda",2065,98.8
"SSP1","Antigua and Barbuda",2070,97.1
"SSP1","Antigua and Barbuda",2075,95
"SSP1","Antigua and Barbuda",2080,92.5
"SSP1","Antigua and Barbuda",2085,89.5
"SSP1","Antigua and Barbuda",2090,86.1
"SSP1","Antigua and Barbuda",2095,82.3
"SSP1","Antigua and Barbuda",2100,78.2
"SSP1","Argentina",2020,44908.4
"SSP1","Argentina",2025,45898.3
"SSP1","Argentina",2030,46799.9
"SSP1","Argentina",2035,47530.4
"SSP1","Argentina",2040,48061
"SSP1","Argentina",2045,48443.5
"SSP1","Argentina",2050,48632.9
"SSP1","Argentina",2055,48609.7
"SSP1","Argentina",2060,48329.4
"SSP1","Argentina",2065,47839.7
"SSP1","Argentina",2070,47167.6
"SSP1","Argentina",2075,46330.6
"SSP1","Argentina",2080,45336.6
"SSP1","Argentina",2085,44198.7
"SSP1","Argentina",2090,42918.2
"SSP1","Argentina",2095,41481.2
"SSP1","Argentina",2100,39871.4
"SSP1","Armenia",2020,2812.5
"SSP1","Armenia",2025,2762.7
"SSP1","Armenia",2030,2720.7
"SSP1","Armenia",2035,2668.7
"SSP1","Armenia",2040,2614.9
"SSP1","Armenia",2045,2563.4
"SSP1","Armenia",2050,2510.4
"SSP1","Armenia",2055,2453.4
"SSP1","Armenia",2060,2391.6
"SSP1","Armenia",2065,2333
"SSP1","Armenia",2070,2278
"SSP1","Armenia",2075,2224.7
"SSP1","Armenia",2080,2170.4
"SSP1","Armenia",2085,2114
"SSP1","Armenia",2090,2057.8
"SSP1","Armenia",2095,2006.2
"SSP1","Armenia",2100,1961.9
"SSP1","Aruba",2020,106.7
"SSP1","Aruba",2025,108.7
"SSP1","Aruba",2030,110.7
"SSP1","Aruba",2035,112.5
"SSP1","Aruba",2040,114.1
"SSP1","Aruba",2045,115.5
"SSP1","Aruba",2050,116.6
"SSP1","Aruba",2055,117.5
"SSP1","Aruba",2060,118.1
"SSP1","Aruba",2065,118.4
"SSP1","Aruba",2070,118.5
"SSP1","Aruba",2075,118.2
"SSP1","Aruba",2080,117.5
"SSP1","Aruba",2085,116.3
"SSP1","Aruba",2090,114.4
"SSP1","Aruba",2095,111.8
"SSP1","Aruba",2100,108.5
"SSP1","Australia",2020,25544.2
"SSP1","Australia",2025,26566.8
"SSP1","Australia",2030,27552
"SSP1","Australia",2035,28468.8
"SSP1","Australia",2040,29326.6
"SSP1","Australia",2045,30175
"SSP1","Australia",2050,31024.2
"SSP1","Australia",2055,31789.9
"SSP1","Australia",2060,32460
"SSP1","Australia",2065,33002.9
"SSP1","Australia",2070,33432.8
"SSP1","Australia",2075,33739.3
"SSP1","Australia",2080,33894.6
"SSP1","Australia",2085,33791.4
"SSP1","Australia",2090,33344.7
"SSP1","Australia",2095,32588
"SSP1","Australia",2100,31663.5
"SSP1","Austria",2020,8901.1
"SSP1","Austria",2025,9051.2
"SSP1","Austria",2030,9123.1
"SSP1","Austria",2035,9182.6
"SSP1","Austria",2040,9234
"SSP1","Austria",2045,9292.3
"SSP1","Austria",2050,9348
"SSP1","Austria",2055,9375.7
"SSP1","Austria",2060,9365.9
"SSP1","Austria",2065,9321.3
"SSP1","Austria",2070,9263
"SSP1","Austria",2075,9197
"SSP1","Austria",2080,9108.8
"SSP1","Austria",2085,8933.8
"SSP1","Austria",2090,8675.3
"SSP1","Austria",2095,8344
"SSP1","Austria",2100,7983.9
"SSP1","Azerbaijan",2020,10273.5
"SSP1","Azerbaijan",2025,10487.8
"SSP1","Azerbaijan",2030,10717.7
"SSP1","Azerbaijan",2035,10922.2
"SSP1","Azerbaijan",2040,11069.4
"SSP1","Azerbaijan",2045,11136
"SSP1","Azerbaijan",2050,11124.8
"SSP1","Azerbaijan",2055,11058.9
"SSP1","Azerbaijan",2060,10956.8
"SSP1","Azerbaijan",2065,10825.2
"SSP1","Azerbaijan",2070,10659.7
"SSP1","Azerbaijan",2075,10456.2
"SSP1","Azerbaijan",2080,10218
"SSP1","Azerbaijan",2085,9958.1
"SSP1","Azerbaijan",2090,9693
"SSP1","Azerbaijan",2095,9436.6
"SSP1","Azerbaijan",2100,9185.4
"SSP1","Bahamas",2020,405.8
"SSP1","Bahamas",2025,414.8
"SSP1","Bahamas",2030,423.2
"SSP1","Bahamas",2035,429.8
"SSP1","Bahamas",2040,433.8
"SSP1","Bahamas",2045,435.9
"SSP1","Bahamas",2050,436
"SSP1","Bahamas",2055,434.1
"SSP1","Bahamas",2060,430.2
"SSP1","Bahamas",2065,424.6
"SSP1","Bahamas",2070,417.7
"SSP1","Bahamas",2075,409.6
"SSP1","Bahamas",2080,400.3
"SSP1","Bahamas",2085,389.6
"SSP1","Bahamas",2090,377.4
"SSP1","Bahamas",2095,363.5
"SSP1","Bahamas",2100,347.8
"SSP1","Bahrain",2020,1494
"SSP1","Bahrain",2025,1619.7
"SSP1","Bahrain",2030,1731.9
"SSP1","Bahrain",2035,1833.2
"SSP1","Bahrain",2040,1926.1
"SSP1","Bahrain",2045,2012
"SSP1","Bahrain",2050,2087.6
"SSP1","Bahrain",2055,2147.6
"SSP1","Bahrain",2060,2189.7
"SSP1","Bahrain",2065,2207.1
"SSP1","Bahrain",2070,2200.1
"SSP1","Bahrain",2075,2169.3
"SSP1","Bahrain",2080,2115.9
"SSP1","Bahrain",2085,2043.9
"SSP1","Bahrain",2090,1960.7
"SSP1","Bahrain",2095,1875.5
"SSP1","Bahrain",2100,1791.7
"SSP1","Bangladesh",2020,166427
"SSP1","Bangladesh",2025,174894.3
"SSP1","Bangladesh",2030,181603.2
"SSP1","Bangladesh",2035,186293.1
"SSP1","Bangladesh",2040,189136.8
"SSP1","Bangladesh",2045,190648.3
"SSP1","Bangladesh",2050,190874.4
"SSP1","Bangladesh",2055,189896
"SSP1","Bangladesh",2060,187700.8
"SSP1","Bangladesh",2065,184555.3
"SSP1","Bangladesh",2070,180550.1
"SSP1","Bangladesh",2075,175753.2
"SSP1","Bangladesh",2080,170282.9
"SSP1","Bangladesh",2085,164263
"SSP1","Bangladesh",2090,157793.2
"SSP1","Bangladesh",2095,150952.8
"SSP1","Bangladesh",2100,143871.2
"SSP1","Barbados",2020,280.4
"SSP1","Barbados",2025,282.1
"SSP1","Barbados",2030,282.6
"SSP1","Barbados",2035,281.8
